"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
504445;237;1;1;1;332.12206719522;;;;1;;;1;;;;;;8;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;4;5;"2";2;;2;;;;;8
504453;237;1;1;1;325.33954403249;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;1
504462;237;2;1;2;338.192206872872;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;3
504472;237;1;1;1;278.994221056022;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;5;"1";2;;2;;;;;6
504500;237;1;1;1;258.78787508241;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;1
504533;237;1;1;1;454.275259138903;;;1;;;;1;;;;;;1;;;;1;;;;;1;;;;;;;;;1;2;1;2;1;;;;;;;4;4;"2";2;;1;1;2;1;;
504576;237;1;1;1;36.9813796133423;1;;;;;;1;;;;;;4;1;;;;;;;;1;;;;;;;;;1;2;1;2;1;;;;;;;7;4;"2";2;;1;1;2;1;;
504583;237;2;1;2;46.0671943187283;;;;;;2;1;;;;;;8;;;;1;;;;;;;;;;;1;;;2;1;2;2;;1;;;;;;5;4;"2";2;;2;;;;;6
504621;237;1;1;1;42.1790171575682;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;5;4;"1";2;;2;;;;;6
504974;237;1;1;1;160.89678390716;1;;;;;;;;;1;;;2;1;;;;;;;;;1;;;;;;;;1;2;2;2;1;;;;;;;8;4;"2";2;;2;;;;;10
505045;237;1;1;1;1169.23911692333;1;;;;;;;;;1;;;2;;;;1;;;;;;;;;;;;2;;;2;2;2;;;;;;;9;;5;"2";2;;2;;;;;4
505081;237;1;1;1;1158.00443671349;1;;;;;;1;;;1;;;2;;;;1;;;;;1;;;;;;;;;1;1;2;2;1;;;;;;;7;2;"2";2;;1;1;3;2;2;
505134;237;1;1;1;1217.02226407156;;;;1;;;;1;;;;;3;1;;;;;;;;1;;;;;;;;;2;2;1;2;1;;;;;;;7;2;"2";2;;1;4;3;;;
505135;237;2;1;2;712.580334156692;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
505152;237;2;1;2;500.355173988061;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;1;;;;;;9;4;"1";2;;2;;;;;6
505156;237;1;1;1;328.393438786841;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;5;"1";2;;2;;;;;6
505228;237;2;1;2;98.4388827681744;1;;;;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;5;4;"1";2;;2;;;;;7
505244;237;2;1;2;100.117405108917;1;;;;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;3
505253;237;1;1;1;82.1008054743409;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;8;4;"1";2;;2;;;;;6
505265;237;1;1;1;98.2825969763579;;;;1;;;1;;;;;;3;;;;;;;;2;;;;;;;;;3;;2;2;2;1;1;;;;;;9;4;"1";2;;2;;;;;3
505278;237;1;1;1;108.211417626035;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;9;4;"1";2;;2;;;;;6
505278;237;2;1;2;108.211417626035;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;6
505281;237;5;1;5;73.9853843231457;1;;;;;;;;;1;;;2;;;;1;;;;;;;;1;;;;;;8;2;2;2;1;;;;;;;5;2;"2";1;5;2;;;;;6
505374;237;2;1;2;250.981397369468;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;;3;;1;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
505394;237;1;1;1;248.48503875232;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;1;1;2;;1;;;;;;5;4;"1";2;;2;;;;;1
505403;237;1;1;1;390.583901230845;;1;;;;;;;;;1;;8;;;;1;;;;;;;;;;;;;3;;1;2;2;;;;;;;9;;4;"2";2;;2;;;;;1
