"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
506090;237;1;1;1;138.421991880265;12;1;4;1;1;1;2;2;3;4;1;1;2;2;1;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;1;2;1;2;;;;;;2;2
506394;237;1;1;1;81.9763935608329;8;1;1;1;1;2;2;2;3;1;2;;;;;;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
506461;237;1;1;1;78.9060786303348;9;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;;;;;;3;2
506511;237;1;1;1;715.373642200833;11;1;6;2;2;2;2;1;3;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;1
506557;237;1;1;1;527.76487285469;5;1;3;1;2;2;2;2;2;4;2;;;;;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
506576;237;1;1;1;406.577077910428;10;1;1;2;2;2;1;2;3;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
506672;237;1;1;1;964.005092972607;1;1;2;1;1;2;2;2;5;1;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;;;;;;3;2
506697;237;1;1;1;824.264549780671;3;1;1;1;2;1;2;2;3;4;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;1;2;2;2;2;;;;;;1;2
506721;237;1;1;1;67.6958155849722;11;1;6;2;1;2;2;2;3;1;2;;;;;;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
506793;237;1;1;1;66.1032051639122;6;1;1;2;2;1;2;2;2;3;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;1;;2
506826;237;1;1;1;75.3531560675382;6;1;6;1;2;2;2;2;4;9;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;;;;;;7;2
506845;237;1;1;1;62.9718104091353;6;1;5;1;2;1;2;2;5;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;10;2
506871;237;1;1;1;60.8273983200759;6;1;3;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;8;2
506919;237;1;1;1;71.3398706467228;3;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
